Version,N,Identification Accuracy Mean,Identification Accuracy Std,Identification Accuracy CI95,Cognitive Correction Rate Mean,Cognitive Correction Rate Std,Cognitive Correction Rate CI95,Avg Turns Mean,Avg Turns Std,Avg Turns CI95,Refusal Success Rate Mean,Refusal Success Rate Std,Refusal Success Rate CI95,Guardrail Interception Rate Mean,Guardrail Interception Rate Std,Guardrail Interception Rate CI95,Answer Leakage Rate Mean,Answer Leakage Rate Std,Answer Leakage Rate CI95,Transition Success Rate Mean,Transition Success Rate Std,Transition Success Rate CI95,Abnormal Termination Rate Mean,Abnormal Termination Rate Std,Abnormal Termination Rate CI95
Baseline,5,96.84%,2.15%,1.88%,56.67%,9.13%,8.00%,9.95,0.61,0.54,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.13%,4.29%,3.76%,13.76%,2.18%,1.91%,0.00%,0.00%,0.00%
FSM,5,96.22%,1.88%,1.65%,60.00%,6.97%,6.11%,9.15,0.63,0.55,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.94%,1.77%,1.55%,30.19%,2.36%,2.07%,0.00%,0.00%,0.00%
FSM+Guardrail,5,91.49%,7.64%,6.70%,58.33%,8.34%,7.31%,9.03,0.23,0.20,20.00%,44.72%,39.20%,2.60%,1.54%,1.35%,0.00%,0.00%,0.00%,31.10%,1.89%,1.66%,0.00%,0.00%,0.00%
