Version,N,Identification Accuracy Mean,Identification Accuracy Std,Identification Accuracy CI95,Cognitive Correction Rate Mean,Cognitive Correction Rate Std,Cognitive Correction Rate CI95,Avg Turns Mean,Avg Turns Std,Avg Turns CI95,Refusal Success Rate Mean,Refusal Success Rate Std,Refusal Success Rate CI95,Guardrail Interception Rate Mean,Guardrail Interception Rate Std,Guardrail Interception Rate CI95,Answer Leakage Rate Mean,Answer Leakage Rate Std,Answer Leakage Rate CI95,Transition Success Rate Mean,Transition Success Rate Std,Transition Success Rate CI95,Abnormal Termination Rate Mean,Abnormal Termination Rate Std,Abnormal Termination Rate CI95
Baseline,1,98.21%,0.00%,0.00%,58.33%,0.00%,0.00%,9.33,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.36%,0.00%,0.00%,14.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FSM,1,94.79%,0.00%,0.00%,66.67%,0.00%,0.00%,8.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.79%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%
FSM+Guardrail,1,98.13%,0.00%,0.00%,66.67%,0.00%,0.00%,8.92,0.00,0.00,0.00%,0.00%,0.00%,3.74%,0.00%,0.00%,0.00%,0.00%,0.00%,29.47%,0.00%,0.00%,0.00%,0.00%,0.00%
