Version,N,Identification Accuracy Mean,Identification Accuracy Std,Identification Accuracy CI95,Cognitive Correction Rate Mean,Cognitive Correction Rate Std,Cognitive Correction Rate CI95,Avg Turns Mean,Avg Turns Std,Avg Turns CI95,Refusal Success Rate Mean,Refusal Success Rate Std,Refusal Success Rate CI95,Guardrail Interception Rate Mean,Guardrail Interception Rate Std,Guardrail Interception Rate CI95,Answer Leakage Rate Mean,Answer Leakage Rate Std,Answer Leakage Rate CI95,Transition Success Rate Mean,Transition Success Rate Std,Transition Success Rate CI95,Abnormal Termination Rate Mean,Abnormal Termination Rate Std,Abnormal Termination Rate CI95
Baseline,1,98.33%,0.00%,0.00%,58.33%,0.00%,0.00%,10.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.17%,0.00%,0.00%,14.81%,0.00%,0.00%,0.00%,0.00%,0.00%
FSM,1,92.78%,0.00%,0.00%,66.67%,0.00%,0.00%,8.08,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.46%,0.00%,0.00%,34.12%,0.00%,0.00%,0.00%,0.00%,0.00%
FSM+Guardrail,1,98.11%,0.00%,0.00%,58.33%,0.00%,0.00%,8.83,0.00,0.00,100.00%,0.00%,0.00%,5.66%,0.00%,0.00%,0.00%,0.00%,0.00%,29.79%,0.00%,0.00%,0.00%,0.00%,0.00%
